"11/07/2006",#TRUE#,"1024 x 768",249
921,146,#FALSE#,#FALSE#,#FALSE#
921,146,#FALSE#,#FALSE#,#FALSE#
902,159,#FALSE#,#FALSE#,#FALSE#
891,186,#FALSE#,#FALSE#,#FALSE#
889,213,#FALSE#,#FALSE#,#FALSE#
877,246,#FALSE#,#FALSE#,#FALSE#
867,268,#FALSE#,#FALSE#,#FALSE#
855,284,#FALSE#,#FALSE#,#FALSE#
844,298,#FALSE#,#FALSE#,#FALSE#
827,308,#FALSE#,#FALSE#,#FALSE#
800,319,#FALSE#,#FALSE#,#FALSE#
771,328,#FALSE#,#FALSE#,#FALSE#
765,331,#FALSE#,#FALSE#,#FALSE#
762,333,#FALSE#,#FALSE#,#FALSE#
761,335,#FALSE#,#FALSE#,#FALSE#
761,335,#FALSE#,#FALSE#,#FALSE#
761,335,#FALSE#,#FALSE#,#FALSE#
759,333,#FALSE#,#FALSE#,#FALSE#
756,337,#FALSE#,#FALSE#,#FALSE#
747,347,#FALSE#,#FALSE#,#FALSE#
741,354,#FALSE#,#FALSE#,#FALSE#
736,357,#FALSE#,#FALSE#,#FALSE#
736,357,#FALSE#,#FALSE#,#FALSE#
735,358,#FALSE#,#FALSE#,#FALSE#
734,359,#FALSE#,#FALSE#,#FALSE#
734,359,#FALSE#,#FALSE#,#FALSE#
731,359,#FALSE#,#FALSE#,#FALSE#
720,365,#FALSE#,#FALSE#,#FALSE#
689,374,#FALSE#,#FALSE#,#FALSE#
664,377,#FALSE#,#FALSE#,#FALSE#
645,378,#FALSE#,#FALSE#,#FALSE#
633,379,#FALSE#,#FALSE#,#FALSE#
620,380,#FALSE#,#FALSE#,#FALSE#
598,380,#FALSE#,#FALSE#,#FALSE#
565,380,#FALSE#,#FALSE#,#FALSE#
555,380,#FALSE#,#FALSE#,#FALSE#
554,380,#FALSE#,#FALSE#,#FALSE#
549,381,#FALSE#,#FALSE#,#FALSE#
542,383,#FALSE#,#FALSE#,#FALSE#
540,384,#FALSE#,#FALSE#,#FALSE#
538,388,#FALSE#,#FALSE#,#FALSE#
530,398,#FALSE#,#FALSE#,#FALSE#
521,409,#FALSE#,#FALSE#,#FALSE#
509,423,#FALSE#,#FALSE#,#FALSE#
498,430,#FALSE#,#FALSE#,#FALSE#
490,437,#FALSE#,#FALSE#,#FALSE#
480,444,#FALSE#,#FALSE#,#FALSE#
480,444,#FALSE#,#FALSE#,#FALSE#
478,448,#FALSE#,#FALSE#,#FALSE#
476,456,#FALSE#,#FALSE#,#FALSE#
476,457,#FALSE#,#FALSE#,#FALSE#
476,457,#FALSE#,#FALSE#,#FALSE#
476,457,#FALSE#,#FALSE#,#FALSE#
476,459,#FALSE#,#FALSE#,#FALSE#
479,462,#FALSE#,#FALSE#,#FALSE#
481,463,#FALSE#,#FALSE#,#FALSE#
483,463,#FALSE#,#FALSE#,#FALSE#
484,464,#FALSE#,#FALSE#,#FALSE#
485,464,#FALSE#,#FALSE#,#FALSE#
485,465,#FALSE#,#FALSE#,#FALSE#
487,465,#FALSE#,#FALSE#,#FALSE#
493,465,#FALSE#,#FALSE#,#FALSE#
524,466,#FALSE#,#FALSE#,#FALSE#
621,466,#FALSE#,#FALSE#,#FALSE#
662,464,#FALSE#,#FALSE#,#FALSE#
676,457,#FALSE#,#FALSE#,#FALSE#
689,445,#FALSE#,#FALSE#,#FALSE#
696,433,#FALSE#,#FALSE#,#FALSE#
702,420,#FALSE#,#FALSE#,#FALSE#
706,411,#FALSE#,#FALSE#,#FALSE#
706,407,#FALSE#,#FALSE#,#FALSE#
706,401,#FALSE#,#FALSE#,#FALSE#
711,388,#FALSE#,#FALSE#,#FALSE#
711,385,#FALSE#,#FALSE#,#FALSE#
